Irish base variable,Irish base value,French base variable,French base value,irish_transformation,transformation_input_irish,french_transformation,transformation_input_france,datatype types,datatype allowed values,Corresponding OntologyIDs,Corresponding OntologyIDs Name,Schema group node,Comments
Complete,,is_colonoscopy_complete,,map,"{""Yes"": True, ""No"": False}",map," {""Oui"": True, ""true"": True, ""false"": False, ""Non"": False}",bool,"[True, False]",C0009556,Total colonoscopy,colonoscopy,
Normal,,is_colonoscopy_anomaly,,map,"{""Yes"": True, ""No"": False}",," {""Oui"": False, ""true"": False, ""false"": True, ""Non"": True}",bool,"[True, False]",C0239081,Colonoscopy normal,colonoscopy,"The variables logic is opposed: I chose Irish standard Normal -> True, Not Normal -> False"
CRC,,is_cancer,,map,"{""Yes"": True, ""No"": False}",map," {""Oui"": False, ""true"": False, ""false"": True, ""Non"": True}",bool,"[True, False]",C0920688 ,Cancer diagnosis,disease,
Age (years),,age_between_50y_75y,,age_int_to_bool_50t75,,map," {""Yes"": True, ""true"": True, ""false"": False, ""No"": False}",,"[True, False]",,,meta,
FHx of CRC,,CRC_parents_nb,,extract_risk_from_family_history,,,,categorical,"[""No"", ""Average"", ""Medium"", ""High""]",C3266797,Family history of colorectal cancer,Family History,complex crc fh explaination
,,colonoscopy_date,,,,,,,,,,,
,,colonoscopy_report_obtained,,,,,,,,,,,
,,polyps_report_obtained,,,,,,,,,,,
,,previous_colonoscopy_date,,,,,,,,,,,
,,previous_colonoscopy_nb,,,,,,,,,,,
,,previous_polyps_nb,,,,,,,,,,,
,,smoking_cessation_date,,,,,,,,,,,
,,ex_smoker_cigarette_nb,,,,,,,,,,,
,,ex_smoker_smoking_duration,,,,,,,,,,,
,,study_consent,,,,,,,,,,,
,,consent_opposition,,,,,,,,,,,
,,colonoscopy_planned,,,,,,,,,,,
,,stool_sample_consent,,,,,,,,,,,
,,previous_study_participation,,,,,,,,,,,
,,email_consent,,,,,,,,,,,
,,gastroenterologist_FG_invitation,,,,,,,,,,,
,,complementary_study_proposed,,,,,,,,,,,
,,gastroenterologist_consultation_date,,,,,,,,,,,
,,gastroenterologist_consultation_place,,,,,,,,,,,
,,gastroenterologist_name,,,,,,,,,,,
,,planned_colonoscopy_date,,,,,,,,,,,
,,fit_test_sent,,,,,,,,,,,
,,fit_test_with_FG_test,,,,,,,,,,,
,,fit_test_date,,,,,,,,,,,
,,fit_test_result_obtained,,,,,,,,,,,
,,fit_test_result_date,,,,,,,,,,,
,,fit_test_result,,,,,,,,,,,
,,fit_test_date,,,,,,,,,,,
,,fit_test_labo,,,,,,,,,,,
,,fit_test_name,,,,,,,,,,,
,,fit_test_result,,,,,,,,,,,
,,fit_test_blood_quantity,,,,,,,,,,,
,,colonoscopy_date,,,,,,,,,,,
,,colonoscopy_place,,,,,,,,,,,
,,colonoscopy_postal_code,,,,,,,,,,,
,,colonoscopy_gastroenterologist,,,,,,,,,,,
,,colonoscopy_preparation_type,,,,,,,,,,,
,,colonoscopy_instrument,,,,,,,,,,,
,,colonoscopy_boston_score,,,,,,,,,,,
,,colonoscopy_right_colon_boston_score,,,,,,,,,,,
,,colonoscopy_preparation_quality,,,,,,,,,,,
,,endoscopy_colorant_used,,,,,,,,,,,
,,endoscipy_type,,,,,,,,,,,
,,cancer_site,,,,,,,,,,,
,,retired_polyps_number,,,,,,,,,,,
,,polyps_complete_exerese,,,,,,,,,,,
,,is_other_polyps,,,,,,,,,,,
,,other_polyps_precision,,,,,,,,,,,
,,polyps_fixator_used,,,,,,,,,,,
,,polyps_result_date,,,,,,,,,,,
,,polyp_1_biopsy,,,,,,,,,,,
,,polyp_1_resection,,,,,,,,,,,
,,polyp_1_analysis,,,,,,,,,,,
,,colonoscopy_reason,"[""1"", ""Surveillance pour antécédent personnel de polypes""]",,,,,,,,,,
,,colonoscopy_reason,"[""2"", ""Surveillance pour antécédent personnel de cancer""] colorectal ",,,,,,,,,,
,,colonoscopy_reason,"[""3"", ""Antécédent familial de cancer colorectal""]",,,,,,,,,,
,,colonoscopy_reason," [""4"", ""Antécédent familial de polype du colon""]",,,,,,,,,,
,,colonoscopy_reason,"[""5"", ""Anémie / carence en fer""]",,,,,,,,,,
,,colonoscopy_reason,"["" 8"", ""Douleur abdominale inhabituelle""]",,,,,,,,,,
,,colonoscopy_reason,"[""10"", ""Altération de votre état général (perte de poids inexpliquée, fatigue importante inexpliquée""]",,,,,,,,,,
Sex,,,,,,,,,,,,,
Other antipalelet,,,,,,,,,,,,,
Anti-coagulant,,,,,,,,,,,,,
